datetime,open,high,low,close,volume
2025-10-14 10:20:00,246.69,247.1,246.65,247.07,350902
2025-10-14 10:25:00,247.09,247.23,246.77,247.02,407770
2025-10-14 10:30:00,246.99,247.44,246.97,247.31,407161
2025-10-14 10:35:00,247.33,247.5,247.05,247.065,304919
2025-10-14 10:40:00,247.065,247.4,246.9501,247.17,196931
2025-10-14 10:45:00,247.185,247.575,247.17,247.57,286945
2025-10-14 10:50:00,247.58,247.7,247.0903,247.31,309769
2025-10-14 10:55:00,247.2901,247.36,247.0,247.26,277712
2025-10-14 11:00:00,247.26,247.45,247.26,247.45,206407
2025-10-14 11:05:00,247.44,247.7499,246.97,246.99,289836
2025-10-14 11:10:00,247.0,247.06,246.635,246.7,239521
2025-10-14 11:15:00,246.7,246.7,246.26,246.41,327138
2025-10-14 11:20:00,246.39,246.5674,246.322,246.545,258069
2025-10-14 11:25:00,246.56,246.58,246.12,246.22,187957
2025-10-14 11:30:00,246.23,246.49,246.17,246.42,273602
2025-10-14 11:35:00,246.41,247.01,246.2803,246.42,559861
2025-10-14 11:40:00,246.459,247.19,246.3656,246.97,252043
2025-10-14 11:45:00,246.99,247.1899,246.94,247.035,144774
2025-10-14 11:50:00,247.02,247.45,247.01,247.2799,218921
2025-10-14 11:55:00,247.26,247.46,247.16,247.38,145797
2025-10-14 12:00:00,247.36,247.4107,247.08,247.1799,147259
2025-10-14 12:05:00,247.16,247.255,246.85,246.874,174721
2025-10-14 12:10:00,246.88,247.15,246.8706,247.055,146928
2025-10-14 12:15:00,247.06,247.5505,247.05,247.5,259469
2025-10-14 12:20:00,247.49,247.75,247.365,247.4211,249951
2025-10-14 12:25:00,247.39,247.46,247.25,247.39,150992
2025-10-14 12:30:00,247.39,247.64,247.39,247.575,165926
2025-10-14 12:35:00,247.555,247.67,247.385,247.52,161974
2025-10-14 12:40:00,247.54,247.71,247.51,247.65,152357
2025-10-14 12:45:00,247.66,248.0354,247.66,247.9,233337
2025-10-14 12:50:00,247.905,248.0,247.77,247.9,201604
2025-10-14 12:55:00,247.895,247.93,247.565,247.58,200247
2025-10-14 13:00:00,247.575,247.75,247.465,247.71,142590
2025-10-14 13:05:00,247.71,247.785,247.62,247.75,124871
2025-10-14 13:10:00,247.75,247.85,247.47,247.49,199903
2025-10-14 13:15:00,247.5,247.68,247.49,247.56,185894
2025-10-14 13:20:00,247.57,247.825,247.57,247.76,111697
2025-10-14 13:25:00,247.755,247.9,247.688,247.798,167654
2025-10-14 13:30:00,247.81,247.82,247.46,247.52,208960
2025-10-14 13:35:00,247.53,247.58,247.18,247.22,262709
2025-10-14 13:40:00,247.21,247.61,247.2,247.61,142327
2025-10-14 13:45:00,247.605,247.7748,247.545,247.5663,151402
2025-10-14 13:50:00,247.5838,247.7367,247.425,247.61,147724
2025-10-14 13:55:00,247.61,247.64,247.4002,247.58,154043
2025-10-14 14:00:00,247.58,247.705,247.38,247.4404,162626
2025-10-14 14:05:00,247.4513,247.55,247.335,247.36,134843
2025-10-14 14:10:00,247.32,247.59,247.3082,247.435,212245
2025-10-14 14:15:00,247.43,247.5025,247.36,247.377,141765
2025-10-14 14:20:00,247.38,247.41,247.255,247.255,253620
2025-10-14 14:25:00,247.25,247.54,247.17,247.485,161105
2025-10-14 14:30:00,247.49,247.62,247.485,247.54,139902
2025-10-14 14:35:00,247.53,247.54,247.17,247.2164,164969
2025-10-14 14:40:00,247.2,247.53,247.14,247.49,205985
2025-10-14 14:45:00,247.49,247.545,247.35,247.54,165239
2025-10-14 14:50:00,247.54,247.65,247.48,247.56,159981
2025-10-14 14:55:00,247.56,247.96,247.485,247.94,500441
2025-10-14 15:00:00,247.94,248.75,247.925,248.48,997534
2025-10-14 15:05:00,248.485,248.67,248.19,248.28,304064
2025-10-14 15:10:00,248.265,248.35,247.975,248.045,246996
2025-10-14 15:15:00,248.045,248.06,247.9,247.99,243722
2025-10-14 15:20:00,248.0,248.35,247.99,248.27,388998
2025-10-14 15:25:00,248.2615,248.43,248.095,248.42,304523
2025-10-14 15:30:00,248.43,248.795,248.39,248.7,508829
2025-10-14 15:35:00,248.7,248.845,247.86,248.4701,963408
2025-10-14 15:40:00,248.45,248.49,246.71,247.08,487932
2025-10-14 15:45:00,247.06,247.42,246.9,247.2,428541
2025-10-14 15:50:00,247.21,247.65,246.73,247.415,587073
2025-10-14 15:55:00,247.4,248.03,247.13,247.85,1506386
2025-10-14 16:00:00,247.85,248.21,247.26,247.77,17325884
2025-10-14 16:05:00,247.6491,247.77,247.07,247.1,28930
2025-10-14 16:10:00,247.77,247.77,247.07,247.5,6107
2025-10-14 16:15:00,247.47,247.77,247.12,247.21,3873
2025-10-14 16:20:00,247.77,247.77,246.63,247.15,50131
2025-10-14 16:25:00,247.16,247.35,247.1,247.1,4288
2025-10-14 16:30:00,247.15,247.45,247.15,247.38,2125
2025-10-14 16:35:00,247.38,247.77,247.1,247.25,235285
2025-10-14 16:40:00,247.17,247.77,247.17,247.5502,6079
2025-10-14 16:45:00,247.61,247.77,247.44,247.44,4266
2025-10-14 16:50:00,247.59,247.64,232.3895,247.59,5895
2025-10-14 16:55:00,247.63,247.63,233.1315,247.55,5167
2025-10-14 17:00:00,247.62,247.63,232.1031,247.44,2293
2025-10-14 17:05:00,247.44,247.77,236.8278,247.48,5893
2025-10-14 17:10:00,241.0694,247.63,238.8996,247.49,2394
2025-10-14 17:15:00,247.26,247.63,233.3021,247.56,2702
2025-10-14 17:20:00,238.3053,247.63,233.3021,247.6,1170
2025-10-14 17:25:00,247.57,247.6,233.1315,247.55,677
2025-10-14 17:30:00,247.55,247.64,247.55,247.55,695
2025-10-14 17:35:00,247.5512,247.6,247.55,247.6,3606
2025-10-14 17:40:00,247.55,247.6,247.3,247.37,376
2025-10-14 17:45:00,247.45,247.46,247.3,247.44,705
2025-10-14 17:50:00,247.46,247.46,247.3,247.46,1043
2025-10-14 17:55:00,247.4,247.49,247.17,247.46,1411
2025-10-14 18:00:00,247.44,247.71,247.33,247.68,10436
2025-10-14 18:05:00,247.7,247.7,247.33,247.37,3327
2025-10-14 18:10:00,247.4,247.7,247.3,247.34,2355
2025-10-14 18:15:00,247.35,247.62,247.13,247.34,2348
2025-10-14 18:20:00,247.3,247.55,247.17,247.55,1097
2025-10-14 18:25:00,247.3,247.55,247.3,247.5499,634
2025-10-14 18:30:00,247.55,247.6599,247.25,247.2601,2082
2025-10-14 18:35:00,247.41,247.6388,247.25,247.6388,3439
2025-10-14 18:40:00,247.45,247.68,247.2512,247.35,161
2025-10-14 18:45:00,247.52,247.68,247.25,247.54,410
2025-10-14 18:50:00,247.25,247.68,247.25,247.5,182
2025-10-14 18:55:00,247.3,247.68,247.28,247.56,301
2025-10-14 19:00:00,247.5,247.68,247.3,247.37,609
2025-10-14 19:05:00,247.5,247.68,247.28,247.56,638
2025-10-14 19:10:00,247.302,247.7,247.28,247.66,1176
2025-10-14 19:15:00,247.7,247.77,247.62,247.7688,2448
2025-10-14 19:20:00,247.75,248.0,247.6,247.6,3257
2025-10-14 19:25:00,247.91,247.99,247.6,247.6,872
2025-10-14 19:30:00,247.6243,247.85,247.6,247.79,351
2025-10-14 19:35:00,247.99,248.0,247.6,247.795,202
2025-10-14 19:40:00,247.8,247.8,247.605,247.74,153
2025-10-14 19:45:00,247.73,247.73,247.6,247.6112,1216
2025-10-14 19:50:00,247.65,247.8,247.61,247.61,1671
2025-10-14 19:55:00,247.67,247.89,247.2836,247.36,5403
2025-10-15 04:00:00,248.62,248.62,247.78,248.2,6321
2025-10-15 04:05:00,248.16,248.22,247.88,247.98,3747
2025-10-15 04:10:00,248.0,248.0,247.6,247.83,4746
2025-10-15 04:15:00,247.81,247.94,247.7,247.83,3901
2025-10-15 04:20:00,247.81,247.9,247.61,247.85,3052
2025-10-15 04:25:00,247.76,247.99,247.76,247.94,2130
2025-10-15 04:30:00,247.97,248.07,247.85,247.96,2839
2025-10-15 04:35:00,247.99,248.11,247.85,248.1,1445
2025-10-15 04:40:00,248.1,248.18,248.0,248.18,1150
2025-10-15 04:45:00,248.15,248.19,248.03,248.1,1998
2025-10-15 04:50:00,248.1,248.35,248.07,248.33,2530
2025-10-15 04:55:00,248.31,248.38,248.21,248.38,1036
2025-10-15 05:00:00,248.39,248.425,248.2,248.35,1751
2025-10-15 05:05:00,248.4,248.66,248.35,248.63,3717
2025-10-15 05:10:00,248.59,248.73,248.58,248.7,1190
2025-10-15 05:15:00,248.7,248.73,248.62,248.64,1637
2025-10-15 05:20:00,248.67,248.69,248.4,248.43,2283
2025-10-15 05:25:00,248.42,248.54,248.4,248.49,363
2025-10-15 05:30:00,248.46,248.62,248.38,248.62,2265
2025-10-15 05:35:00,248.6,248.64,248.51,248.54,1350
2025-10-15 05:40:00,248.54,248.74,248.5,248.57,3935
2025-10-15 05:45:00,248.59,248.59,248.54,248.56,857
2025-10-15 05:50:00,248.57,248.67,248.54,248.57,499
2025-10-15 05:55:00,248.6,248.64,248.52,248.61,573
2025-10-15 06:00:00,248.56,248.56,248.35,248.35,2421
2025-10-15 06:05:00,248.36,248.44,248.35,248.39,369
2025-10-15 06:10:00,248.39,248.54,248.32,248.5,1943
2025-10-15 06:15:00,248.45,248.5,248.4,248.48,451
2025-10-15 06:20:00,248.48,248.5,248.4,248.42,2116
2025-10-15 06:25:00,248.43,248.5,248.35,248.5,760
2025-10-15 06:30:00,248.43,248.45,248.33,248.33,508
2025-10-15 06:35:00,248.35,248.41,248.27,248.38,1705
2025-10-15 06:40:00,248.39,248.42,248.36,248.37,1119
2025-10-15 06:45:00,248.39,248.5,248.39,248.45,1664
2025-10-15 06:50:00,248.48,248.58,248.47,248.48,1668
2025-10-15 06:55:00,248.49,248.66,248.48,248.66,3784
2025-10-15 07:00:00,248.66,249.09,248.64,248.94,9745
2025-10-15 07:05:00,248.94,249.07,248.75,249.07,8056
2025-10-15 07:10:00,249.04,249.15,249.01,249.11,2905
2025-10-15 07:15:00,249.11,249.11,248.97,249.01,3782
2025-10-15 07:20:00,248.99,249.01,248.9,248.9,2549
2025-10-15 07:25:00,248.9,248.93,248.75,248.82,1628
2025-10-15 07:30:00,248.86,248.9,248.7,248.8,3040
2025-10-15 07:35:00,248.81,248.86,248.8,248.86,336
2025-10-15 07:40:00,248.85,248.93,248.82,248.83,603
2025-10-15 07:45:00,248.85,248.94,248.83,248.83,1923
2025-10-15 07:50:00,248.83,248.92,248.83,248.87,562
2025-10-15 07:55:00,248.89,249.08,248.8,248.87,6206
2025-10-15 08:00:00,248.0,249.2,247.51,248.76,97695
2025-10-15 08:05:00,248.76,248.88,247.77,248.81,4043
2025-10-15 08:10:00,248.81,249.19,248.7,249.14,11731
2025-10-15 08:15:00,249.2,249.51,249.1,249.42,7803
2025-10-15 08:20:00,249.25,249.52,249.25,249.3,4834
2025-10-15 08:25:00,249.3238,249.52,249.3,249.5,5025
2025-10-15 08:30:00,249.4,249.52,249.2,249.3,6752
2025-10-15 08:35:00,249.3,249.38,249.0534,249.18,11085
2025-10-15 08:40:00,249.15,250.4569,249.0,250.25,36419
2025-10-15 08:45:00,250.28,250.32,249.986,250.22,16082
2025-10-15 08:50:00,250.15,250.28,249.5352,250.21,18469
2025-10-15 08:55:00,250.15,250.21,249.87,250.04,12824
2025-10-15 09:00:00,249.87,250.2,247.77,250.01,925386
2025-10-15 09:05:00,250.05,250.06,249.61,249.83,19757
2025-10-15 09:10:00,249.816,250.2,249.73,249.871,28141
2025-10-15 09:15:00,249.9699,250.1,249.88,250.0774,23129
2025-10-15 09:20:00,249.92,250.12,249.91,250.03,16934
2025-10-15 09:25:00,250.06,250.1,249.35,249.46,34673
2025-10-15 09:30:00,249.485,250.25,248.64,249.115,1591075
2025-10-15 09:35:00,249.115,249.66,249.035,249.45,486557
2025-10-15 09:40:00,249.47,250.6386,249.395,249.56,658833
2025-10-15 09:45:00,249.55,250.13,249.4,249.69,529629
2025-10-15 09:50:00,249.7,250.205,249.3275,249.83,282576
2025-10-15 09:55:00,249.835,250.8,249.8096,250.775,430004
2025-10-15 10:00:00,250.75,251.7288,250.75,251.714,692110
2025-10-15 10:05:00,251.72,251.81,251.19,251.39,680831
2025-10-15 10:10:00,251.42,251.82,250.77,250.845,443224
2025-10-15 10:15:00,250.87,251.51,250.853,251.42,340277
2025-10-15 10:20:00,251.45,251.47,251.13,251.2,270731
2025-10-15 10:25:00,251.22,251.37,250.77,250.85,361417
2025-10-15 10:30:00,250.85,251.19,250.85,251.17,316765
2025-10-15 10:35:00,251.18,251.4692,250.85,250.8688,309483
2025-10-15 10:40:00,250.86,250.925,250.63,250.82,350433
2025-10-15 10:45:00,250.82,250.86,250.43,250.46,237847
2025-10-15 10:50:00,250.46,250.6,250.3,250.38,249606
2025-10-15 10:55:00,250.37,250.64,250.28,250.5378,252782
2025-10-15 11:00:00,250.55,250.8499,250.55,250.82,246955
2025-10-15 11:05:00,250.83,250.83,250.52,250.5899,206440
2025-10-15 11:10:00,250.566,250.69,250.38,250.42,322600
2025-10-15 11:15:00,250.4,250.5899,250.305,250.43,243578
2025-10-15 11:20:00,250.41,250.47,250.1,250.18,209676
2025-10-15 11:25:00,250.15,250.43,249.8,249.8599,471088
2025-10-15 11:30:00,249.835,249.87,249.38,249.565,268059
2025-10-15 11:35:00,249.55,249.7,249.18,249.6,273108
2025-10-15 11:40:00,249.62,249.62,249.0601,249.44,258165
2025-10-15 11:45:00,249.44,249.44,249.1101,249.36,201907
2025-10-15 11:50:00,249.34,249.36,248.72,248.82,332754
2025-10-15 11:55:00,248.8,249.28,248.795,248.97,281623
2025-10-15 12:00:00,248.955,249.7,248.91,249.43,295011
2025-10-15 12:05:00,249.44,249.79,249.22,249.74,145307
2025-10-15 12:10:00,249.715,249.85,249.49,249.85,172142
2025-10-15 12:15:00,249.8497,249.94,249.65,249.76,169868
2025-10-15 12:20:00,249.76,249.9513,249.7005,249.9072,144339
2025-10-15 12:25:00,249.915,250.0497,249.66,249.775,337132
2025-10-15 12:30:00,249.76,249.9499,249.64,249.72,146500
2025-10-15 12:35:00,249.72,249.895,249.62,249.735,139114
2025-10-15 12:40:00,249.7485,249.75,249.45,249.4775,168538
2025-10-15 12:45:00,249.475,249.49,249.0141,249.08,205419
2025-10-15 12:50:00,249.07,249.07,248.7,248.8,200318
2025-10-15 12:55:00,248.815,249.0799,248.73,248.95,137674
2025-10-15 13:00:00,248.96,249.02,248.33,248.66,239122
2025-10-15 13:05:00,248.67,248.9299,248.5125,248.65,122386
2025-10-15 13:10:00,248.68,248.6842,247.83,247.84,291062
2025-10-15 13:15:00,247.84,248.1017,247.47,247.945,280000
2025-10-15 13:20:00,247.92,248.245,247.71,248.2,141898
2025-10-15 13:25:00,248.27,248.325,247.9,248.0905,218610
